0.000000	0.000000
-1.000000	0.550000
-0.302500	-0.550000
-1.210994	0.882750
-0.312742	-1.588010
-3.423967	1.543274
8.341857	-10.018236
-31.778479	-166.591385
-26743.818359	10588.591797
603113536.000000	-566358720.000000
42983736345624576.000000	-683157223223853060.000000
-464856190201568290000000000000000000.000000	-58729301570623697000000000000000000.000000
1.#INF00	1.#INF00
-1.#IND00	1.#INF00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
-1.#IND00	-1.#IND00
